codePoint,method,traceArgs,rasterSrcArgs,rasterDestArgs
00BC,placeholder,,,
00BD,placeholder,,,
00BE,placeholder,,,
00BF,placeholder,,,
00C0,placeholder,,,
00C1,placeholder,,,
00C2,placeholder,,,
00C3,placeholder,,,
00C4,placeholder,,,
00C5,placeholder,,,
00C6,placeholder,,,
00C7,placeholder,,,
00C8,placeholder,,,
00C9,placeholder,,,
00CA,placeholder,,,
00CB,placeholder,,,
00CC,placeholder,,,
00CD,placeholder,,,
00CE,placeholder,,,
00CF,placeholder,,,
00D0,placeholder,,,
00D1,placeholder,,,
00D2,placeholder,,,
00D3,placeholder,,,
00D4,placeholder,,,
00D5,placeholder,,,
00D6,placeholder,,,
00D7,placeholder,,,
00D8,placeholder,,,
00D9,placeholder,,,
00DA,placeholder,,,
00DB,placeholder,,,
00DC,placeholder,,,
00DD,placeholder,,,
00DE,placeholder,,,
00DF,placeholder,,,
00E0,placeholder,,,
00E1,placeholder,,,
00E2,placeholder,,,
00E3,placeholder,,,
00E4,placeholder,,,
00E5,placeholder,,,
00E6,placeholder,,,
00E7,placeholder,,,
00E8,placeholder,,,
00E9,placeholder,,,
00EA,placeholder,,,
00EB,placeholder,,,
00EC,placeholder,,,
00ED,placeholder,,,
00EE,placeholder,,,
00EF,placeholder,,,
00F0,placeholder,,,
00F1,placeholder,,,
00F2,placeholder,,,
00F3,placeholder,,,
00F4,placeholder,,,
00F5,placeholder,,,
00F6,placeholder,,,
00F7,placeholder,,,
00F8,placeholder,,,
00F9,placeholder,,,
00FA,placeholder,,,
00FB,placeholder,,,
00FC,placeholder,,,
00FD,placeholder,,,
00FE,placeholder,,,
00FF,placeholder,,,
